frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
11592,45,0,0,622.3,285.3,15.1,10.6
11602,45,0,0,629.4,285.5,10.6,10.0
11603,45,0,0,628.7,286.0,11.3,9.9
11608,45,0,0,624.5,285.1,13.3,10.5
11609,45,0,0,623.7,285.9,12.9,9.9
11610,45,0,0,622.1,286.3,12.9,10.1
11611,45,0,0,621.8,285.0,12.5,10.6
11612,45,0,0,620.8,283.0,13.5,10.9
11613,45,0,0,619.4,283.4,13.7,11.1
11623,45,0,0,608.5,282.2,14.7,12.5
11624,45,0,0,606.7,283.3,15.2,12.8
11625,45,0,0,606.3,285.1,15.0,13.0
11634,45,0,0,593.7,281.6,18.9,12.9
11635,45,0,0,591.8,281.9,19.5,13.4
11636,45,0,0,590.9,284.0,17.9,12.2
11640,45,0,0,584.9,283.4,19.8,13.4
11641,45,0,0,583.9,284.3,18.4,13.0
11642,45,0,0,583.0,281.0,20.0,14.7
11644,45,0,0,580.6,281.0,21.8,15.7
11645,45,0,0,578.7,281.0,20.0,16.1
11646,45,0,0,577.8,281.0,21.7,16.9
11647,45,0,0,576.2,281.8,20.6,16.5
11648,45,0,0,574.4,280.9,24.3,17.4
11649,45,0,0,572.9,279.7,23.2,17.1
11650,45,0,0,571.2,279.2,22.7,17.2
11651,45,0,0,569.1,280.8,24.5,17.6
11652,45,0,0,567.7,281.1,24.6,18.3
11653,45,0,0,566.2,279.9,26.3,18.3
11654,45,0,0,564.9,278.8,24.9,18.0
11655,45,0,0,563.5,279.9,26.5,17.8
11656,45,0,0,561.7,280.8,25.2,17.4
11657,45,0,0,561.0,280.2,26.3,18.1
11658,45,0,0,559.7,279.9,26.7,18.5
11659,45,0,0,557.3,279.5,27.5,18.9
11660,45,0,0,556.5,278.7,26.8,19.2
11682,45,0,0,529.7,275.6,35.3,23.9
11696,45,0,0,526.1,275.3,33.4,24.3
11697,45,0,0,525.9,273.8,33.1,24.8
11698,45,0,0,525.5,274.8,33.5,24.6
11699,45,0,0,524.6,279.5,31.5,21.5
11700,45,0,0,525.4,275.6,32.9,24.6
11701,45,0,0,525.0,274.2,33.9,24.9
11706,45,0,0,525.1,275.9,33.4,24.0
11707,45,0,0,525.0,275.7,32.8,24.3
11717,45,0,0,525.8,275.0,32.6,24.6
11723,45,0,0,524.4,274.3,33.3,25.3
11724,45,0,0,523.6,275.7,35.0,24.4
11725,45,0,0,525.4,279.3,28.8,22.1
11726,45,0,0,525.8,279.2,31.0,21.6
11727,45,0,0,525.6,275.6,33.6,24.1
11733,45,0,0,527.3,275.3,33.0,24.2
11734,45,0,0,523.4,274.0,34.3,25.4
11736,45,0,0,524.4,279.6,31.3,22.0
11748,45,0,0,512.0,280.0,32.3,22.0
