frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
10249,41,0,0,293.7,212.1,11.6,10.9
10250,41,0,0,294.5,212.2,14.0,11.6
10251,41,0,0,297.6,213.6,13.7,12.6
10252,41,0,0,299.5,214.7,14.7,13.0
10253,41,0,0,300.0,214.9,17.3,13.3
10254,41,0,0,303.2,215.5,17.0,14.6
10255,41,0,0,306.7,215.5,16.9,15.7
10256,41,0,0,309.4,217.2,18.7,16.2
10257,41,0,0,311.4,219.2,20.8,16.2
10258,41,0,0,316.4,221.6,19.8,16.7
10259,41,0,0,318.9,221.7,22.1,17.6
10260,41,0,0,323.6,221.7,22.8,19.4
10261,41,0,0,326.8,224.3,24.7,20.1
10262,41,0,0,332.0,227.0,26.8,20.3
10263,41,0,0,337.2,228.4,28.3,22.4
10264,41,0,0,342.6,230.7,29.9,22.8
10265,41,0,0,348.5,232.1,31.6,25.6
10266,41,0,0,355.4,236.0,34.0,26.5
10267,41,0,0,361.6,239.5,39.7,28.4
10268,41,0,0,368.9,242.7,43.9,31.9
10269,41,0,0,382.9,246.7,45.2,34.8
10270,41,0,0,393.8,250.7,51.9,38.2
10271,41,0,0,410.4,255.5,55.8,45.2
10272,41,0,0,427.2,265.0,62.9,48.4
10273,41,0,0,443.0,272.7,77.4,55.4
10274,41,0,0,463.8,282.9,92.2,67.3
