frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
7892,30,0,0,281.4,208.8,13.2,9.6
7893,30,0,0,283.8,210.2,12.6,9.0
7894,30,0,0,284.4,210.3,14.5,9.9
7896,30,0,0,288.5,211.0,15.3,11.0
7897,30,0,0,290.9,212.1,14.5,10.9
7898,30,0,0,293.4,213.1,14.4,10.7
7899,30,0,0,295.4,213.5,15.6,11.8
7900,30,0,0,299.1,214.6,14.3,11.7
7901,30,0,0,298.4,215.0,18.2,12.5
7902,30,0,0,300.2,214.8,19.3,14.0
7903,30,0,0,303.8,216.4,18.6,14.5
7904,30,0,0,306.1,216.4,20.6,15.6
7905,30,0,0,309.3,218.4,20.3,15.9
7906,30,0,0,311.5,219.4,21.9,16.7
7907,30,0,0,316.2,221.3,21.2,16.3
7908,30,0,0,316.6,222.3,25.6,17.6
7909,30,0,0,320.6,224.4,26.7,17.8
7910,30,0,0,325.4,224.9,26.1,19.3
7926,30,0,0,489.0,301.3,146.5,103.6
7927,30,0,0,571.3,327.2,67.2,83.8
