frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
11357,44,0,0,286.7,210.6,13.1,9.6
11358,44,0,0,290.2,211.2,11.2,9.7
11359,44,0,0,291.3,212.0,13.3,9.8
11360,44,0,0,293.1,213.0,13.2,10.4
11361,44,0,0,296.0,213.6,13.1,10.9
11362,44,0,0,298.3,214.6,13.6,11.6
11363,44,0,0,300.2,214.5,14.5,12.4
11364,44,0,0,302.2,215.7,15.6,12.2
11365,44,0,0,303.7,215.9,17.0,13.7
11366,44,0,0,307.5,218.3,15.7,13.0
11367,44,0,0,309.9,219.0,17.5,13.5
11368,44,0,0,311.8,220.5,20.1,14.3
11369,44,0,0,315.8,221.8,19.3,14.9
11370,44,0,0,318.4,222.5,20.6,15.4
11371,44,0,0,320.8,223.6,23.2,16.5
11372,44,0,0,325.5,225.2,23.6,18.3
11373,44,0,0,328.1,227.1,26.3,18.7
11374,44,0,0,333.9,229.0,26.6,18.8
11375,44,0,0,339.7,229.8,27.3,21.4
11376,44,0,0,344.7,232.4,29.8,22.5
11377,44,0,0,350.3,234.0,30.8,24.5
11378,44,0,0,355.8,238.6,35.1,25.4
11379,44,0,0,363.9,241.5,37.3,27.7
11380,44,0,0,371.6,244.2,40.9,30.8
11381,44,0,0,381.7,247.3,43.9,34.8
11382,44,0,0,393.7,253.3,50.2,37.9
11383,44,0,0,408.9,260.8,54.1,41.3
11384,44,0,0,421.6,265.9,63.0,43.9
11385,44,0,0,439.6,275.2,73.9,50.2
11386,44,0,0,455.6,285.3,95.2,65.2
11387,44,0,0,491.4,302.9,102.4,71.3
11388,44,0,0,523.2,314.2,116.0,85.2
