frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
11710,50,0,0,263.9,202.0,11.6,9.0
11713,50,0,0,266.7,201.3,11.4,9.6
11714,50,0,0,267.6,202.3,12.8,9.4
11715,50,0,0,268.9,203.0,11.4,8.9
11719,50,0,0,272.2,203.1,12.0,9.4
11720,50,0,0,272.9,203.6,12.0,10.1
11721,50,0,0,273.7,204.8,12.6,10.2
11722,50,0,0,275.2,204.7,12.2,10.2
11723,50,0,0,275.5,204.3,12.6,9.7
11724,50,0,0,276.9,205.1,12.5,9.5
11725,50,0,0,280.1,206.5,11.3,9.7
11726,50,0,0,280.1,206.9,13.0,10.2
11727,50,0,0,281.5,206.9,12.4,10.5
11728,50,0,0,281.1,206.1,14.8,11.7
11736,50,0,0,293.5,211.9,14.5,12.9
11753,50,0,0,325.6,220.6,26.2,26.1
11754,50,0,0,327.7,222.5,28.4,24.5
11755,50,0,0,330.6,220.1,29.8,29.1
11761,50,0,0,354.9,228.4,40.6,40.2
11762,50,0,0,359.5,231.6,45.5,40.9
11763,50,0,0,367.1,232.3,45.4,45.7
11764,50,0,0,375.4,235.1,48.1,48.5
11765,50,0,0,383.9,236.9,51.4,52.8
11766,50,0,0,392.6,241.4,55.9,54.3
11767,50,0,0,401.5,244.7,63.5,60.5
11768,50,0,0,415.0,249.7,69.4,65.1
11769,50,0,0,428.0,254.3,78.5,70.8
11770,50,0,0,441.6,260.4,89.4,78.5
11771,50,0,0,454.4,266.6,109.2,84.8
11772,50,0,0,466.8,278.4,129.4,92.8
11773,50,0,0,502.9,286.3,131.1,107.2
11774,50,0,0,536.1,294.2,103.8,120.8
11775,50,0,0,571.9,304.1,68.0,121.0
