xmin,ymin,xmax,ymax,score,label
163.22171020507812,237.7041778564453,325.9974365234375,301.93438720703125,0.9354122877120972,8
488.2121276855469,272.1265869140625,533.7440795898438,300.19012451171875,0.8355842232704163,8
165.90716552734375,237.9625244140625,305.8699645996094,300.9383544921875,0.8032198548316956,3
536.0931396484375,280.6648864746094,561.9491577148438,299.2181396484375,0.7340736985206604,3
314.25213623046875,254.3927764892578,379.82171630859375,303.3783874511719,0.6857508420944214,8
536.3484497070312,276.33203125,565.4343872070312,300.164794921875,0.4877481162548065,8
543.0252075195312,276.200927734375,567.0488891601562,297.646484375,0.4619181752204895,3
488.0770568847656,273.7904357910156,530.1497802734375,301.0340270996094,0.3747842311859131,3
270.38690185546875,247.40989685058594,374.5390930175781,299.1772766113281,0.16178438067436218,8
319.18359375,255.2854461669922,369.0730285644531,286.3389587402344,0.13913731276988983,8
489.19573974609375,272.30889892578125,530.2623901367188,300.55133056640625,0.12730476260185242,6
526.670654296875,275.95281982421875,537.514892578125,292.77374267578125,0.11020011454820633,8
313.16876220703125,276.5828552246094,379.16796875,302.543701171875,0.09315339475870132,3
510.4789733886719,271.80023193359375,534.5343627929688,293.91680908203125,0.09297744184732437,8
546.6888427734375,276.69287109375,564.3280639648438,288.2800598144531,0.09174445271492004,3
511.57012939453125,272.73443603515625,534.3936157226562,293.2896728515625,0.07503664493560791,3
