xmin,ymin,xmax,ymax,score,label
455.703369140625,269.806640625,517.5477905273438,301.2622985839844,0.9012044072151184,3
509.1330261230469,278.7559814453125,528.0247802734375,302.34417724609375,0.8030261397361755,3
556.5599975585938,277.6876220703125,575.0489501953125,298.67864990234375,0.7795604467391968,3
523.1637573242188,276.23004150390625,557.8712158203125,300.5892639160156,0.6614333987236023,8
522.889404296875,277.4888610839844,557.2203979492188,300.46142578125,0.6387808322906494,3
557.98388671875,276.4432373046875,575.5137939453125,298.6755676269531,0.5406123399734497,8
454.11431884765625,270.4224853515625,523.6339721679688,300.98345947265625,0.5109162330627441,8
512.7001342773438,281.02301025390625,539.4011840820312,302.2557373046875,0.3839108943939209,3
503.4547119140625,274.03936767578125,521.112060546875,300.927490234375,0.3654613494873047,8
516.7216796875,282.7364196777344,529.5856323242188,302.0828857421875,0.27331918478012085,3
541.0655517578125,275.59283447265625,574.08837890625,299.3388977050781,0.24887524545192719,8
491.28778076171875,274.68621826171875,522.7042846679688,301.5309753417969,0.1347861886024475,3
548.225341796875,279.5274963378906,560.9111328125,298.0494689941406,0.11768403649330139,3
556.560302734375,287.25701904296875,570.393798828125,299.000732421875,0.09937680512666702,3
501.0281066894531,276.2267761230469,553.83447265625,301.8714904785156,0.0949268788099289,3
508.9958190917969,276.8224182128906,526.4439086914062,301.8238830566406,0.09159351140260696,8
552.5364379882812,280.10540771484375,568.2124633789062,298.57537841796875,0.07417171448469162,3
547.9417724609375,278.3750305175781,560.9661254882812,298.1388244628906,0.07325036823749542,8
498.7931213378906,274.9862976074219,555.0097045898438,301.6260070800781,0.07007277011871338,8
512.3782958984375,285.20916748046875,525.3352661132812,301.6132507324219,0.061647024005651474,3
236.37283325195312,199.45639038085938,246.72190856933594,210.98899841308594,0.054873984307050705,3
512.9090576171875,276.20428466796875,523.8506469726562,296.8250427246094,0.05396082252264023,3
486.09515380859375,272.5536804199219,516.5292358398438,300.4153747558594,0.0535205714404583,8
559.9193115234375,277.2937927246094,573.8883056640625,291.2575378417969,0.05325731262564659,3
538.294921875,277.68572998046875,560.2035522460938,298.4901428222656,0.05209638178348541,3
