xmin,ymin,xmax,ymax,score,label
345.6167297363281,232.5224609375,363.7597351074219,242.79750061035156,0.6905907392501831,3
332.4448547363281,233.0133514404297,367.3709716796875,249.9314422607422,0.6597247123718262,3
329.1824951171875,235.7695770263672,373.3531188964844,258.01739501953125,0.6313441395759583,3
329.3766784667969,236.7969970703125,375.1788330078125,258.9493713378906,0.4980655312538147,8
335.6968078613281,231.82472229003906,371.1114807128906,250.77517700195312,0.16034692525863647,8
329.9476318359375,236.76748657226562,357.14385986328125,251.273681640625,0.12155310064554214,3
345.162109375,231.56968688964844,365.9873962402344,245.47573852539062,0.09042131155729294,8
337.66571044921875,231.78977966308594,364.1703796386719,239.02955627441406,0.08560889214277267,3
331.6647644042969,234.39822387695312,351.8790588378906,248.97789001464844,0.053932953625917435,1
344.6615905761719,233.57525634765625,374.0512390136719,252.5291290283203,0.05387791991233826,3
