frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
11591,45,-1,-1,622.4,285.7,15.2,10.9
11592,45,-1,-1,622.3,285.3,15.1,10.6
11593,45,-1,-1,621.3,284.9,14.1,10.8
11594,45,-1,-1,619.7,284.8,14.7,11.4
11595,45,-1,-1,618.4,285.0,13.7,11.0
11596,45,-1,-1,617.4,284.5,14.9,11.8
11597,45,-1,-1,616.5,285.0,15.4,11.3
11598,45,-1,-1,614.6,284.5,15.6,11.5
11599,45,-1,-1,613.9,284.4,14.3,11.0
11600,45,-1,-1,612.2,284.1,15.6,11.3
11601,45,-1,-1,611.5,283.8,15.5,11.5
11602,45,-1,-1,610.6,283.4,14.9,11.6
11603,45,-1,-1,608.7,283.7,15.1,12.3
11604,45,-1,-1,606.7,284.0,17.1,12.6
11605,45,-1,-1,606.1,283.7,16.2,11.8
11606,45,-1,-1,605.0,282.6,17.3,11.6
11607,45,-1,-1,602.8,281.7,17.6,13.0
11608,45,-1,-1,601.3,282.2,17.5,12.4
11609,45,-1,-1,600.4,282.8,17.1,13.3
11610,45,-1,-1,598.0,282.5,18.8,14.1
11611,45,-1,-1,596.6,281.6,18.9,13.6
11612,45,-1,-1,595.3,280.8,19.0,13.0
11613,45,-1,-1,593.5,281.8,18.8,13.0
11614,45,-1,-1,591.6,282.7,18.7,13.1
11615,45,-1,-1,589.8,283.7,18.5,13.1
11616,45,-1,-1,589.2,281.6,19.0,12.7
11617,45,-1,-1,586.8,279.7,18.1,13.6
11618,45,-1,-1,584.2,281.4,20.0,13.6
11619,45,-1,-1,581.9,282.8,18.1,14.0
11620,45,-1,-1,580.5,282.5,18.6,15.0
11621,45,-1,-1,578.6,280.5,20.6,16.5
11622,45,-1,-1,577.1,279.9,22.8,15.8
11623,45,-1,-1,574.8,278.8,23.2,17.3
11624,45,-1,-1,572.1,279.5,24.3,17.5
11625,45,-1,-1,569.7,282.2,22.6,15.9
11626,45,-1,-1,568.1,281.4,24.8,17.5
11627,45,-1,-1,565.9,278.8,25.4,17.8
11628,45,-1,-1,563.6,278.9,26.3,18.3
11629,45,-1,-1,561.3,279.0,27.2,18.8
11630,45,-1,-1,559.0,279.1,28.1,19.3
11631,45,-1,-1,556.7,279.2,29.0,19.8
11632,45,-1,-1,554.3,278.0,30.2,20.2
11633,45,-1,-1,552.4,277.6,31.4,20.9
11768,45,-1,-1,480.7,272.3,33.0,29.7
11769,45,-1,-1,502.0,275.8,22.4,25.3
11825,45,-1,-1,0.0,209.1,112.2,81.2
11826,45,-1,-1,1.0,206.2,79.0,81.0
11827,45,-1,-1,0.0,206.2,47.8,62.5
