frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
11357,44,-1,-1,286.7,210.6,13.1,9.6
11358,44,-1,-1,290.2,211.2,11.2,9.7
11359,44,-1,-1,291.3,212.0,13.3,9.8
11360,44,-1,-1,293.1,213.0,13.2,10.4
11361,44,-1,-1,296.0,213.6,13.1,10.9
11362,44,-1,-1,298.3,214.6,13.6,11.6
11363,44,-1,-1,300.2,214.5,14.5,12.4
11364,44,-1,-1,302.2,215.7,15.6,12.2
11365,44,-1,-1,303.7,215.9,17.0,13.7
11366,44,-1,-1,307.5,218.3,15.7,13.0
11367,44,-1,-1,309.9,219.0,17.5,13.5
11368,44,-1,-1,311.8,220.5,20.1,14.3
11369,44,-1,-1,315.8,221.8,19.3,14.9
11370,44,-1,-1,318.4,222.5,20.6,15.4
11371,44,-1,-1,320.8,223.6,23.2,16.5
11372,44,-1,-1,325.5,225.2,23.6,18.3
11373,44,-1,-1,328.1,227.1,26.3,18.7
11374,44,-1,-1,333.9,229.0,26.6,18.8
11375,44,-1,-1,339.7,229.8,27.3,21.4
11376,44,-1,-1,344.7,232.4,29.8,22.5
11377,44,-1,-1,350.3,234.0,30.8,24.5
11378,44,-1,-1,355.8,238.6,35.1,25.4
11379,44,-1,-1,363.9,241.5,37.3,27.7
11380,44,-1,-1,371.6,244.2,40.9,30.8
11381,44,-1,-1,381.7,247.3,43.9,34.8
11382,44,-1,-1,393.7,253.3,50.2,37.9
11383,44,-1,-1,408.9,260.8,54.1,41.3
11384,44,-1,-1,421.6,265.9,63.0,43.9
11385,44,-1,-1,439.6,275.2,73.9,50.2
11386,44,-1,-1,455.6,285.3,95.2,65.2
11387,44,-1,-1,491.4,302.9,102.4,71.3
11388,44,-1,-1,523.2,314.2,116.0,85.2
11389,44,-1,-1,570.1,338.2,68.3,71.2
