frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
8829,37,-1,-1,281.3,208.6,11.1,9.7
8830,37,-1,-1,283.3,209.3,10.9,9.7
8831,37,-1,-1,285.4,210.1,10.7,9.7
8832,37,-1,-1,287.4,210.8,10.5,9.7
8833,37,-1,-1,288.8,211.4,11.8,10.3
8834,37,-1,-1,289.6,211.4,13.8,11.1
8835,37,-1,-1,290.9,211.5,14.7,12.1
8836,37,-1,-1,293.9,212.8,14.2,11.8
8837,37,-1,-1,296.1,213.3,14.1,12.4
8838,37,-1,-1,298.8,214.2,14.2,12.7
8839,37,-1,-1,300.1,214.4,15.9,13.9
8840,37,-1,-1,304.7,215.8,14.8,14.0
8841,37,-1,-1,306.6,216.7,15.4,14.6
8842,37,-1,-1,307.4,216.7,18.0,15.9
8843,37,-1,-1,310.4,218.0,18.7,16.9
8844,37,-1,-1,315.4,220.2,18.1,16.6
8845,37,-1,-1,318.4,222.3,19.0,16.8
8846,37,-1,-1,322.6,223.3,19.6,17.6
8847,37,-1,-1,326.0,225.2,20.9,18.8
8848,37,-1,-1,328.3,226.1,24.3,20.1
8849,37,-1,-1,327.2,226.2,31.5,22.8
8850,37,-1,-1,339.1,228.5,26.2,23.6
8851,37,-1,-1,341.8,230.8,30.8,24.8
8852,37,-1,-1,344.6,233.0,35.4,26.1
8853,37,-1,-1,353.3,239.2,36.2,25.6
8854,37,-1,-1,362.0,245.3,37.1,25.0
8855,37,-1,-1,362.6,240.8,48.8,35.0
8856,37,-1,-1,374.8,244.9,51.8,35.9
8857,37,-1,-1,383.0,246.1,59.8,45.4
8858,37,-1,-1,395.6,252.3,63.8,50.1
8859,37,-1,-1,410.4,256.8,73.9,55.4
8860,37,-1,-1,425.9,262.0,85.7,64.0
8861,37,-1,-1,440.1,271.7,105.8,75.8
8862,37,-1,-1,473.1,285.6,103.6,82.7
8863,37,-1,-1,506.1,299.4,101.4,89.5
8864,37,-1,-1,539.1,313.3,99.2,96.4
8865,37,-1,-1,590.6,347.0,49.4,76.7
8866,37,-1,-1,586.0,345.6,50.9,76.7
8867,37,-1,-1,581.4,344.1,52.4,76.6
8868,37,-1,-1,576.8,342.7,54.0,76.6
8869,37,-1,-1,572.2,341.2,55.5,76.5
8870,37,-1,-1,567.7,339.8,57.0,76.5
8871,37,-1,-1,563.1,338.3,58.5,76.4
8872,37,-1,-1,558.5,336.9,60.0,76.4
8873,37,-1,-1,553.9,335.4,61.6,76.3
8874,37,-1,-1,549.3,334.0,63.1,76.3
8875,37,-1,-1,544.7,332.5,64.6,76.2
8876,37,-1,-1,540.1,331.1,66.1,76.2
8877,37,-1,-1,535.5,329.6,67.7,76.1
8878,37,-1,-1,530.9,328.2,69.2,76.1
8879,37,-1,-1,526.3,326.7,70.7,76.0
8880,37,-1,-1,521.8,325.3,72.2,76.0
8881,37,-1,-1,517.2,323.8,73.7,75.9
8882,37,-1,-1,512.6,322.4,75.3,75.9
8883,37,-1,-1,508.0,320.9,76.8,75.8
8884,37,-1,-1,503.4,319.5,78.3,75.8
8885,37,-1,-1,498.8,318.1,79.8,75.8
8886,37,-1,-1,494.2,316.6,81.3,75.7
8887,37,-1,-1,489.6,315.2,82.9,75.7
8888,37,-1,-1,485.0,313.7,84.4,75.6
8889,37,-1,-1,480.5,312.3,85.9,75.6
8890,37,-1,-1,475.9,310.8,87.4,75.5
8891,37,-1,-1,471.3,309.4,88.9,75.5
8892,37,-1,-1,466.7,307.9,90.5,75.4
8893,37,-1,-1,462.1,306.5,92.0,75.4
8894,37,-1,-1,457.5,305.0,93.5,75.3
8895,37,-1,-1,452.9,303.6,95.0,75.3
8896,37,-1,-1,448.3,302.1,96.6,75.2
8897,37,-1,-1,443.7,300.7,98.1,75.2
8898,37,-1,-1,439.1,299.2,99.6,75.1
8899,37,-1,-1,434.6,297.8,101.1,75.1
8900,37,-1,-1,430.0,296.3,102.6,75.0
8901,37,-1,-1,425.4,294.9,104.2,75.0
8902,37,-1,-1,420.8,293.4,105.7,74.9
8903,37,-1,-1,416.2,292.0,107.2,74.9
8904,37,-1,-1,402.1,278.6,84.8,58.9
8905,37,-1,-1,384.3,267.1,75.9,51.3
8906,37,-1,-1,368.9,260.0,68.3,47.6
8907,37,-1,-1,359.9,252.4,57.6,43.4
8908,37,-1,-1,352.0,245.8,50.2,40.0
8909,37,-1,-1,346.9,245.3,42.4,28.6
8910,37,-1,-1,338.5,240.6,40.9,29.5
8911,37,-1,-1,332.6,237.3,36.8,27.2
8912,37,-1,-1,326.2,234.1,36.2,26.0
8913,37,-1,-1,322.9,232.0,30.8,23.5
8914,37,-1,-1,318.6,230.0,29.5,21.5
8915,37,-1,-1,314.9,227.6,27.5,20.7
8916,37,-1,-1,312.7,225.5,23.6,20.0
8917,37,-1,-1,308.1,224.1,24.3,18.9
8918,37,-1,-1,304.4,222.3,23.2,18.4
8919,37,-1,-1,302.3,221.3,21.1,17.1
8920,37,-1,-1,298.3,220.2,22.1,15.8
8921,37,-1,-1,296.6,219.5,19.2,14.3
8922,37,-1,-1,294.1,218.6,19.0,13.1
8923,37,-1,-1,293.4,216.6,16.2,13.4
8924,37,-1,-1,290.7,215.9,16.1,12.9
8925,37,-1,-1,289.2,214.7,15.0,13.4
8926,37,-1,-1,286.9,213.6,14.8,12.8
8927,37,-1,-1,284.6,212.4,15.1,12.4
8928,37,-1,-1,282.3,212.3,14.1,11.9
8929,37,-1,-1,282.0,212.9,12.1,10.3
8930,37,-1,-1,280.2,212.5,11.8,9.6
8931,37,-1,-1,277.3,209.8,13.1,11.5
8932,37,-1,-1,274.9,209.5,13.5,10.9
8933,37,-1,-1,273.3,209.0,13.4,10.7
8934,37,-1,-1,273.8,208.6,11.4,10.4
8935,37,-1,-1,271.3,207.9,12.5,9.9
