frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
9966,41,-1,-1,281.4,209.2,12.5,9.4
9967,41,-1,-1,283.7,210.0,12.0,9.3
9968,41,-1,-1,286.0,210.7,11.4,9.2
9969,41,-1,-1,287.2,210.7,12.4,9.9
9970,41,-1,-1,289.2,211.3,12.0,10.4
9971,41,-1,-1,290.2,211.4,13.8,10.7
9972,41,-1,-1,292.5,212.2,13.4,11.3
9973,41,-1,-1,294.4,213.3,13.9,11.3
9974,41,-1,-1,296.1,213.7,14.6,11.8
9975,41,-1,-1,298.3,214.3,14.7,12.8
9976,41,-1,-1,299.6,215.4,15.8,12.5
9977,41,-1,-1,302.8,215.2,15.9,14.6
9978,41,-1,-1,304.1,215.5,17.5,15.4
9979,41,-1,-1,306.4,217.0,17.4,14.7
9980,41,-1,-1,309.6,217.8,18.1,16.2
9981,41,-1,-1,311.3,219.8,20.1,15.5
9982,41,-1,-1,314.6,220.8,20.4,16.3
9983,41,-1,-1,316.2,221.4,23.1,17.9
9984,41,-1,-1,319.1,222.7,24.6,18.5
9985,41,-1,-1,323.1,223.5,24.9,19.6
9986,41,-1,-1,326.8,225.5,25.2,20.3
9987,41,-1,-1,330.6,227.2,27.3,20.3
9988,41,-1,-1,336.4,229.2,27.2,21.2
9989,41,-1,-1,338.8,230.9,30.9,23.0
9990,41,-1,-1,345.2,232.1,30.7,24.6
9991,41,-1,-1,349.9,234.3,34.0,26.1
9992,41,-1,-1,356.3,238.7,36.1,26.9
9993,41,-1,-1,363.1,240.3,39.1,30.0
9994,41,-1,-1,370.1,243.2,43.5,32.8
9995,41,-1,-1,380.2,245.9,44.8,37.0
9996,41,-1,-1,390.3,250.7,49.3,39.4
9997,41,-1,-1,402.4,255.7,55.9,44.0
9998,41,-1,-1,414.3,263.3,63.0,45.2
9999,41,-1,-1,429.4,270.2,72.3,49.3
10000,41,-1,-1,444.5,276.1,86.5,67.7
10001,41,-1,-1,462.3,286.3,103.5,74.0
10002,41,-1,-1,497.5,299.5,112.5,85.9
10003,41,-1,-1,528.7,314.3,111.3,97.5
10004,41,-1,-1,567.5,341.3,72.4,80.6
